200000,-47.55337376304378
400000,-34.46850042309088
600000,-48.43296275267552
800000,-14.672956452114526
1000000,-17.09194800131591
1200000,-20.45198481860935
1400000,-2.804992185341969
1600000,-12.996380936403519
1800000,-9.444347885603209
2000000,-22.802579282216637
2200000,-5.52292483581785
2400000,-11.19684471923775
2600000,-5.698651679425309
2800000,-3.139890036152981
3000000,-1.7942137053319638
3200000,-2.3127659386308625
3400000,-15.164942904812602
3600000,-1.2133851251613208
3800000,0.8359511622946609
4000000,-3.9606389255491488
4200000,11.73935577040792
4400000,8.97150970869557
4600000,15.856954912813027
4800000,30.87353764479594
5000000,82.84498021616994
5200000,84.74067760369849
5400000,129.38354597454307
5600000,99.08714047741144
5800000,176.2133877359006
6000000,197.11580967964997
6200000,205.0927152572689
6400000,245.79066910407755
6600000,257.73053329182625
6800000,230.16633530553693
7000000,250.9237578040152
7200000,232.5993331478371
7400000,227.100838028212
7600000,232.042788401505
7800000,268.39916502185827
8000000,219.5020201025243
8200000,230.09040203000893
8400000,250.53327977955783
8600000,281.58600554417797
8800000,309.3100248974612
9000000,311.7682086124987
9200000,334.1734249612737
9400000,328.22596023779937
9600000,346.846567726258
9800000,322.9570404484371
10000000,339.93622729518296
10200000,256.8543207857736
10400000,304.05016936929576
10600000,288.1482723997603
10800000,341.82739374902593
11000000,367.2417230809846
11200000,295.2467725222517
11400000,352.27888758948023
11600000,397.31902229929506
11800000,453.5637016676926
12000000,373.77147003544815
12200000,343.1732600085277
12400000,385.8086734781927
12600000,416.0542586398626
12800000,391.06718437507783
13000000,213.33131672763292
13200000,316.8242747194344
13400000,250.7898109619091
13600000,213.25154614284625
13800000,264.00253171555545
14000000,285.37032906930864
14200000,254.111369882783
14400000,334.7361983269747
14600000,405.1482543089432
14800000,295.2562585044294
15000000,367.75696097988606
15200000,355.2753062179014
15400000,382.42865851454627
15600000,373.0030430063085
15800000,282.76710330481217
16000000,388.374492182863
16200000,429.4739782322973
16400000,484.75925853823026
16600000,360.0414982825922
16800000,328.54722257634916
17000000,369.0817977531478
17200000,308.2448002220675
17400000,284.48279112235565
17600000,355.51995473296813
17800000,344.01500463517345
18000000,292.19670261458134
18200000,524.8005258101291
18400000,350.2392475141726
18600000,425.8709958590422
18800000,495.21993019420216
19000000,396.4771346772051
19200000,418.5240950602852
19400000,538.3273879722236
19600000,551.706032045979
19800000,471.11738848350444
20000000,486.01657106152413
20200000,548.619911618869
20400000,498.02502096110703
20600000,604.4115251614268
20800000,667.5641752503406
21000000,798.8139500488563
21200000,660.3328358113861
21400000,632.3971686403713
